
Uitsig  HS

WDB-SECT-NE,10.100.21.136,Rocket M5 Titanium,
WDB-SECTOR4,10.100.21.134,Rocket M5 Titanium,
 WDB-SECTOR-2,10.100.21.132,Rocket M5 Titanium,
 WDB-SECTOR1,10.100.21.131,Rocket M5 Titanium,
WBD_PM,10.100.21.139,0,
Castle - WDB-Station,10.100.21.11,0,
BW-WDB-VOIP-NE,10.100.21.138,,

Magalieskruin HS

Name,Ip,Model,Clients
TFWB-Magalieskruin NEW,10.100.144.129,CCR1009-7G-1C-1S+,50
 TFWB-Magalieskruin-Sec-SE,10.100.144.135,Rocket M5,
 www.bronbergwisp.co.za/Magal-NE,10.100.144.134,Rocket M5 Titanium,
 TFWB-Magalieskruin-Sec-NNW,10.100.144.133,Rocket M5 Titanium,
 www.bronbergwisp.co.za/Magal-NNE,10.100.144.132,Rocket M5 Titanium,
 www.bronbergwisp.co.za/Magali-NW,10.100.144.131,Rocket M5 Titanium,
MAGALIESKRUIN-PM,10.100.144.139,0,
Magalieskruin - Static 1,10.250.4.123,,

Montana HS

Name,Ip,Model,Clients
TFWB_Montana,10.100.59.129,CCR1009-8G-1S,74
 TFWB-Montana-Devotech,10.100.59.134,PowerBeam M5,
 TFWB-Montana-Sec-3,10.100.59.133,Rocket M5 Titanium,
 TFWB-Montana-Sec-1,10.100.59.131,Rocket M5 Titanium,
 TFWB-Montana-Sec-4,10.100.59.135,Rocket M5 Titanium,
 TFWB-Montana-Sec-2,10.100.59.132,Rocket M5 Titanium,
MONTANA-PM,10.100.59.137,0,
Montana - Static 1,10.250.23.195,,
Montana - Static 2,10.250.23.196,,
Montana - PTZ,10.250.23.198,,

Moloto HS

Name,Ip,Model,Clients
Moloto HS,10.100.29.129,RB2011UiAS,24
 Mol-Sect-2,10.100.29.132,Rocket M5,
 UBNT-MOL-SEC-1,10.100.29.131,Rocket M5,
Moloto_PM,10.100.29.139,0,
Castle - Moloto-AP,10.100.29.10,0,
Castle - Moloto-Station,10.100.29.13,0,
Moloto - Kammel-Station,10.100.30.13,0,

Waverley HS

Name,Ip,Model,Clients
Waverley - Static 1,10.250.17.139,,
Waverley - PTZ,10.250.17.140,,

Mame HS-004

Name,Ip,Model,Clients
MAME-004-PM(SOLAR),10.250.4.109,0,

Mame HS-001

Name,Ip,Model,Clients
MAME-001-PM,10.254.0.6,0,

Mame HS-002

Name,Ip,Model,Clients
MAME-002-PM,10.123.124.90,0,

Cable View HS

Name,Ip,Model,Clients
TFWB-HartiesOrCableView,10.100.74.129,RB2011UiAS,47
 BW-HARTIES-Sect-SE,10.100.74.134,Rocket M5 Titanium,
 BW-HARTIES-Sect-W,10.100.74.133,Rocket M5 Titanium,
 BW-HARTIES-Sect-S,10.100.74.132,Rocket M5 Titanium,
 BW-HARTIES-Sect-NE,10.100.74.135,Rocket M5 Titanium,
 BW-HARTIES-Sect-E,10.100.74.131,Rocket M5 Titanium,
TFWB-MountainView Mikrotik,10.100.142.129,CCR1009-8G-1S,29
Harties Camera Toughswitch,10.100.74.18,,

Mamelodi CC

Name,Ip,Model,Clients
MAME CC-PM,10.254.3.2,0,

Ekandastria HS

Name,Ip,Model,Clients
Ekandastria,10.100.69.129,RB2011UiAS,2
 TFW-Ekandustria-Sec1-N,10.100.69.130,Rocket M5 Titanium,
EKANDUSTRIA-PM,10.250.22.37,0,
Ekandastria - Static 1,10.250.22.43,,
Ekandastria - Static 2,10.250.22.44,,
Ekandastria - PTZ,10.250.22.45,,

Rayton HS

Name,Ip,Model,Clients
BW-Rayton HS,10.100.79.129,RB2011UiAS,12
 BW-Rayton-Sect-1,10.100.79.130,Rocket M5 Titanium,
RAYTON-PM,10.250.22.93,0,
Rayton - Static Main 1,10.250.22.84,,

Hercules East HS

Name,Ip,Model,Clients
TFWB-Hercules_East,10.100.62.129,RB2011iLS,24
 TFWB-Herculus-Sec-S,10.100.62.133,Rocket M5 Titanium,
 TFWB-Herculus-Sec-NE,10.100.62.132,Rocket M5 Titanium,
 TFWB-Herculus-Sec-NW,10.100.62.131,Rocket M5 Titanium,
HKL-PM,10.250.4.158,0,

Lotus Gardens HS

Name,Ip,Model,Clients
TFWB-Lotus,10.100.76.129,CCR1009-8G-1S,5
 TFWB-Lotus_Garden-Sec4,10.100.76.134,Rocket M5 Titanium,
 TFWB-Lotus_Garden-Sec3,10.100.76.133,Rocket M5 Titanium,
 TFWB-Lotus_Garden-Sec2,10.100.76.132,Rocket M5 Titanium,
 TFWB-Lotus_Garden-Sec1,10.100.76.131,Rocket M5 Titanium,
LTS_PM,10.250.33.41,0,

Meintjieskop HS

Name,Ip,Model,Clients

Moreleta HS

Name,Ip,Model,Clients
BW-Moreleta-HS,10.100.44.129,CCR1016-12G,66
 TFWB-Mor-Sec5,10.100.44.136,Rocket M5 Titanium,
 TFWB-Mor-Sec4-W,10.100.44.134,Rocket M5 Titanium,
 TFWB-Mor-Sec3-S,10.100.44.133,Rocket M5 Titanium,
 TFWB-Mor-Sec1-N,10.100.44.131,Rocket M5 Titanium,
 TFWB-Moreleta-Synexus-PtP,10.100.44.34,0,
 TFWB-Mor-Sec2-E,10.100.44.132,Rocket M5 Titanium,
MORELETA-PM,10.250.22.181,0,
Moreleta - Static 1,10.250.22.179,,
Moreleta - PTZ,10.250.22.180,,
SIAE @ Morelleta to Studio Burnett,10.100.44.42,,

Urologies HS

Name,Ip,Model,Clients
BW-Urologies HS,10.100.36.129,RB2011UiAS,9
 URO-SOUTH,10.100.36.134,Rocket M5 Titanium,
 URO-NORTH,10.100.36.133,Rocket M5 Titanium,
 URO-WEST,10.100.36.132,Rocket M5,
 URO-SEC-EAST,10.100.36.131,Rocket M5,
Urological Hospital Fibre Router,10.100.153.130,,
Urological Hospital Distribution Fibre Switch,10.100.153.129,,

CBD HS

Name,Ip,Model,Clients
CBD Mikrotik,10.100.18.129,CCR1036-12G-4S,23
 CBD-SECT-SW,10.100.18.135,Rocket M5,
 CBD-SECT-EAST,10.100.18.133,Rocket M5,
 CBD-SECT-NE,10.100.18.138,Rocket M5 Titanium,
 CBD-SECT-SE,10.100.18.137,Rocket M5 Titanium,
 CBD-SECT-W,10.100.18.136,Rocket M5 Titanium,
 CBD-SECT-SOUTH,10.100.18.134,Rocket M5 Titanium,
 CBD-SEC-NW,10.100.18.132,Rocket M5 Titanium,
 CBD-SEC-NW-2,10.100.18.147,Rocket M5 Titanium,
 CBD-Heights,10.100.37.10,0,
 TFWB-BH-CBD-PIETER DELPORT,10.100.5.10,0,
CBD-PM,10.100.18.139,0,
CBD-PM,10.250.5.154,0,
Lammers - Cbd-Station,10.100.18.11,0,
Vibro - CBD-Station,10.100.20.35,0,
CBD - Groenkloof-Station,10.100.16.13,0,

Chamboard HS

Name,Ip,Model,Clients
Chamboard,10.100.17.129,CCR1009-8G-1S,62
 BW-Bridge-Blue,10.100.17.130,NanoBridge M5,
 BW-SECTOR-BLACK,10.100.17.146,Rocket M5 Titanium,
 BW-SECTOR-ORANGE,10.100.17.145,Rocket M5 Titanium,
 BW-SECTOR-RED,10.100.17.137,0,
 BW-SECTOR-GREEN,10.100.17.135,Rocket M5 Titanium,
 BW-SECTOR-BLUE,10.100.17.134,Rocket M5 Titanium,
 BronWISP Moore Stevens Sect Noord,10.100.17.228,Rocket M5,
 BW-SECTOR-YELLOW,10.100.17.136,Rocket M5,
CHAM_PM,10.100.17.138,0,
Lemon Tree,10.100.150.2,CCR1009-8G-1S,1
Lemontree-PM,10.100.150.6,,

Murrayfield HS

Name,Ip,Model,Clients
BW-Murrayfield,10.100.81.129,CCR1009-8G-1S,42
 Soillab PTP,10.100.81.251,0,
 TFWB-Murrayfield-Sec-3-N,10.100.81.133,Rocket M5 Titanium,
 TFWB-Murrayfield-Sec-2-SW,10.100.81.132,Rocket M5 Titanium,
 TFWB-Murrayfield-Sec-1-NW,10.100.81.131,Rocket M5 Titanium,
MrYfld-PM,10.100.81.19,0,
WIL2 - Murrayfield-AP,10.100.81.12,0,

Loft Apartments HS

Name,Ip,Model,Clients
Loft Apartments,10.100.19.129,RB2011UiAS,5
 Rocket - LT-NORTH,10.100.19.132,Rocket M5,
 Loft Sector South,10.100.19.131,Rocket M5,
 CBD-Loft,10.100.19.10,Rocket M5,

Voortrekker HS

Name,Ip,Model,Clients

Vibro Sandvlakte

Name,Ip,Model,Clients
TFWB_Sandvlakte,10.100.65.129,RB2011iLS,5
 BW-Sandvlaket-Sec-W,10.100.65.134,Rocket M5 Titanium,
 BW-Sandvlakte-Sec-O,10.100.65.133,Rocket M5 Titanium,
 BW-Sandvalkte-Sec-N,10.100.65.132,Rocket M5 Titanium,
 SandvlakteTower-SandvlakteOffice,10.100.65.131,NanoStation M5,
SANDVLAKTE_PM,10.100.65.139,0,

Muckleneuk HS

Name,Ip,Model,Clients

Wilgers 4 HS

Name,Ip,Model,Clients

Heights HS

Name,Ip,Model,Clients
Heights,10.100.37.129,RB2011UiAS,18
  TFWBronberg-Heights-Sec2,10.100.37.133,Rocket M5 Titanium,
  TFWBronberg-Heights-Sec1,10.100.37.132,Rocket M5 Titanium,
